User Name,Slack Integration,Most Used Page,Had Free Trial,User MRR,Weekly Logins,Company Name,Industry,Company Size,Territory,Sales Call in Trial,Zendesk Integration,Salesforce Integration,Gmail Integration,Most common referrer,Most common IP,Sales Touches to Close,Used Admin Panel,Has Issued Support Request
Nilsa Harmon,No,/home,No,39,2,HP,Technology,>$10B,West,No,Yes,No,Yes,hotels.com,165.227.215.62,5,No,No
Joni Catano,No,/tool/storyboard,No,39,6,HP,Technology,>$10B,West,No,Yes,Yes,No,hotels.com,159.203.166.41,16,No,Yes
Emmett Jeffries,Yes,/tool/search,Yes,169,3,HP,Technology,>$10B,West,Yes,No,Yes,No,hotels.com,159.203.166.41,4,No,Yes
Dian Boisse,No,/tool/storyboard,No,39,2,HP,Technology,>$10B,West,No,Yes,No,No,zoom.com,162.243.108.129,15,No,Yes
Barbara Herrera,No,/tool/storyboard,No,1299,7,HP,Technology,>$10B,West,No,No,Yes,No,/mail.google.com,159.203.166.41,5,No,Yes
Matthew White,No,/tool/storyboard,No,169,6,HP,Technology,>$10B,West,Yes,No,No,Yes,/facebook.com,142.93.8.33,11,No,Yes
Chadwick Miller,Yes,/tool/storyboard,Yes,39,16,HP,Technology,>$10B,West,No,No,No,Yes,/mail.google.com,138.68.41.90,6,Yes,Yes
Chi Sisto,No,/tool/storyboard,No,39,3,HP,Technology,>$10B,West,Yes,No,No,No,/slack.com,165.227.215.62,13,Yes,Yes
Juanita Porter,No,/tool/storyboard,No,1299,5,HP,Technology,>$10B,West,No,Yes,No,No,zoom.com,134.209.44.228,5,No,Yes
Marie Halstead,No,/tool/storyboard,No,39,6,HP,Technology,>$10B,West,No,No,No,Yes,/slack.com,134.209.44.228,5,No,Yes
Omar Garcia,No,/tool/storyboard,No,169,1,HP,Technology,>$10B,West,No,Yes,Yes,No,/tripadvisor.com,165.227.215.62,8,Yes,No
Joe Mckenzie,No,/tool/build_query,No,39,1,HP,Technology,>$10B,West,No,No,No,No,/mail.google.com,138.68.41.90,7,Yes,Yes
Nellie Arleth,No,/tool/storyboard,No,39,2,HP,Technology,>$10B,West,Yes,Yes,Yes,No,/tripadvisor.com,165.227.215.62,5,No,Yes
